,load,inPin,inDirection,inSupply,driver,outPin,outDirection,outSupply
0,gen12p93dl2/gtslice0/gtssm3/gteutop3,ma_eu_bus_data_sb.sb.regaddr[7],in,VCCGT,gen12p93dl2/gtslice0/gtssm3/gtssmpar11,ma_eu_bus_data_sb_3.sb.regaddr[7],out,VCCGT
1,gen12p93dl2/gtslice1/gtssm3/gtssmpar31,sc_fl_ext_interface.arr_strm_sc_data[0].arr_subpix_quad_texel[3][3][1],in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gtssmpar41,sc_fl_ext_interface.arr_strm_sc_data[0].arr_subpix_quad_texel[3][3][1],out,VCCGT
2,gen12p93dl2/gtslice1/gtsc1/gtxetlbpar21,in_xetlb_cmd_pkt_1_1[104],in,VCCGT,gen12p93dl2/gtslice1/gtsc1/gtcpipepar21,nodex_slxetlb_cmd_pkt_1__1__1.ext_attrib.fmt0.extended_addr[55],out,VCCGT
4,gen12p93dl2/gtslice1/gtssm3/gtlscpar11,lscfe_lscnode_wdata_6.last,in,VCCGT,gen12p93dl2/gtslice1/gtssm3/gtssmpar21,lscfe_lscnode_wdata_2.last,out,VCCGT
7,gen12p93dl2/gtmempipe0/gtl3bankm5,ft_bank_node_sqlatency_L_LR.stop_count[0],in,VCCGT,gen12p93dl2/gtmempipe0/gtl3bankm4,bank_node_sqlatency.stop_count[0],out,VCCGT
15,gen12p93dl2/gtslice0/gtssm2/gtlscpar11,lscfe_lscnode_fence_pkt_6.sb.flush_sb.flush_type[0],in,VCCGT,gen12p93dl2/gtslice0/gtssm2/gtssmpar21,lscfe_lscnode_fence_pkt_2.sb.flush_sb.flush_type[0],out,VCCGT
18,gen12p93dl2/gtslice1/gtssm2/gtssmpar11,lsc_dfpd_oa_int_events.lsc_l1_msg_fence_flush,in,VCCGT,gen12p93dl2/gtslice1/gtssm2/gtlscpar11,lsc_dfpd_oa_int_events.lsc_l1_msg_fence_flush,out,VCCGT
19,gen12p93dl2/gtslice1/gtssm1/gtssmpar11,eu_dfpd_oa_int_events_4.eu_grf_conflict_wr[0],in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gteutop4,eu_dfpd_oa_int_events.eu_grf_conflict_wr[0],out,VCCGT
20,gen12p93dl2/gtslice1/gtssm1/gtssmpar11,eu_dfpd_oa_ext_events_3.eu_pipe_alu0_and_alu1_active_cycles,in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gteutop3,eu_dfpd_oa_ext_events.eu_pipe_alu0_and_alu1_active_cycles,out,VCCGT
22,gen12p93dl2/gtslice1/gtssm1/gtlscpar11,lscfe_lscnode_rd_req_pkt_6.cl_addr[0][0],in,VCCGT,gen12p93dl2/gtslice1/gtssm1/gtssmpar21,lscfe_lscnode_rd_req_pkt_2.cl_addr[0][0],out,VCCGT
